skill
.NET
.NET Core
.NET MAUI
ACM
ACR
ADF
ADLS Gen2
ADO
AI Studio (OpenAI)
AKS
ALB
AMQP
API Gateway
API Management
APIM
ASP.NET Core
ASP.NET Core Web API
AWS ALB
AWS API Gateway
AWS Backup
AWS Amazon MQ
AWS AppSync
AWS Athena
AWS Aurora
AWS Bedrock
AWS CDK
AWS CLB
AWS Certificate Manager
AWS CloudFormation
AWS CloudFront
AWS CloudTrail
AWS CloudWatch
AWS CodeBuild
AWS CodeCommit
AWS CodeDeploy
AWS CodePipeline
AWS Cognito
AWS DocumentDB
AWS DynamoDB
AWS EBS
AWS EC2
AWS ECS
AWS EFS
AWS EKS
AWS EMR
AWS/ Amazon Web Services
AWS ElastiCache
AWS Elastic Beanstalk
AWS Elastic Load Balancing
AWS Elasticache for Redis
AWS EventBridge
AWS FSx for Lustre
AWS FSx for NetApp ONTAP
AWS FSx for Windows
AWS Fargate
AWS Forecast
AWS Global Accelerator
AWS Glue
AWS GuardDuty
AWS IAM
AWS Inspector
AWS KMS
AWS Kendra
AWS Keyspaces
AWS Kinesis
AWS Lambda
AWS Macie
AWS NLB
AWS Neptune
AWS OpenSearch
AWS OpenSearch Service
AWS OpsWorks
AWS Parameter Store
AWS Personalize
AWS Polly
AWS PrivateLink
AWS QLDB
AWS QuickSight
AWS RDS
AWS Redis on AWS
AWS Redshift
AWS Rekognition
AWS S3
AWS SAM
AWS SNS
AWS SQS
AWS SSM (Systems Manager)
AWS SageMaker
AWS Secrets Manager
AWS Security Hub
AWS Shield
AWS Snowball
AWS Snowcone
AWS Snowmobile
AWS Step Functions
AWS Storage Gateway
AWS Systems Manager
AWS Textract
AWS Timestream
AWS Transcribe
AWS Transit Gateway
AWS Translate
AWS VPC
AWS WAF
AWS X-Ray
ActiveMQ
Actix Web
Alpine Linux
Altair
Android
Angular
Annoy
Ansible
Ant Design
Apache Airflow
Apache Arrow
Apache Beam
Apache Flink
Apache Hudi
Apache Iceberg
Apache Spark
Apache Superset
Apigee
Apollo Server
App Engine
App Gateway
App Insights
App Service
AppSync
Application Gateway
Application Insights
Archive Storage
Argo CD
Argo Workflows
Artifact Registry
Astro
Athena
Aurora
Aurora MySQL
Aurora PostgreSQL
Auth0
AutoML
Avro
Avro Schema
Axum
Azure AD
Azure AI Studio (OpenAI)
Azure API Management
Azure App Service
Azure Application Gateway
Azure Application Insights
Azure Archive Storage
Azure Azure CDN
Azure Azure DevOps
Azure Azure Firewall
Azure Batch
Azure Blob Storage
Azure Bot Service
Azure CDN
Azure Cache for Redis
Azure Cognitive Services
Azure Container Apps
Azure Container Registry
Azure Cosmos DB
Azure DDoS Protection
Azure DNS
Azure Data Factory
Azure Data Lake Storage Gen2
Azure Database for MySQL
Azure Database for PostgreSQL
Azure Databricks
Azure Databricks (Azure)
Azure Defender for Cloud
Azure DevOps
Azure Event Grid
Azure Event Hubs
Azure ExpressRoute
Azure Files
Azure Firewall
Azure Front Door
Azure Functions
Azure HDInsight
Azure Key Vault
Azure Kubernetes Service
Azure Load Balancer
Azure Log Analytics
Azure Logic Apps
Azure ML
Azure Machine Learning
Azure Managed Disks
Azure Microsoft Entra ID
Azure Microsoft Sentinel
Azure Monitor
Azure MySQL
Azure OpenAI
Azure PostgreSQL
Azure Private Link
Azure SQL Database
Azure SQL Managed Instance
Azure Service Bus
Azure Stream Analytics
Azure Synapse
Azure Synapse Analytics
Azure VM Scale Sets
Azure VMs
Azure Virtual Machines
Azure Virtual Network
Adobe
BQ
Babel
Bash
Batch
Bazel
Bedrock
BigQuery
Bigtable
Bitbucket
Blob Storage
Blue-Green Deployments
Bokeh
Bootstrap 
Bot Service
Burp Suite
C
C#
C++
CDK
CDN
CLB
CLIP
CMake
CSS
CSV
Cache for Redis
Canary Deployments
Canvas API
Cassandra
CatBoost
CentOS
Certificate Manager
Chai
Chakra UI
Chart
